ID,Title,Award Category,Platform,Status,Expected Filename,File Size,File Path,URL
1,[TITANIUM + CREATIVE BUSINESS TRANSFORMATION + DIRECT] THREE WORDS – AXA (PUBLICIS CONSEIL PARIS),Grand Prix,YOUTUBE,Not Downloaded,ad_001.mp4,-,-,https://www.youtube.com/watch?v=pY-03zuV7mE
4,[TITANIUM + HEALTH & WELLNESS + SOCIAL & INFLUENCER] VASELINE VERIFIED – UNILEVER (OGILVY SINGAPORE),Grand Prix,VIMEO,Not Downloaded,ad_004.mp4,-,-,https://vimeo.com/1082798104?share=copy
5,[CREATIVE B2B] ACT LIKE YOU KNOW – GODADDY (QUALITY MEATS CREATIVE NEW YORK),Grand Prix,YOUTUBE,Downloaded,ad_005.mp4,10.1 MB,/Users/julieschiller/responsible-advertising-index/downloaded_ads/ad_005.mp4,https://www.youtube.com/watch?v=Psk5sR7KJTU
6,[CREATIVE STRATEGY + GLASS: THE LION FOR CHANGE] REAL BEAUTY: HOW A SOAP BRAND CREATED A GLOBAL SELF-ESTEEM MOVEMENT – DOVE (OGILVY LONDON),Grand Prix,YOUTUBE,Downloaded,ad_006.mp4,20.0 MB,/Users/julieschiller/responsible-advertising-index/downloaded_ads/ad_006.mp4,https://www.youtube.com/watch?v=puQ0PNZ1W-A
7,[ENTERTAINMENT LIONS FOR GAMING] CALL OF DISCOUNTS – MERCADO LIVRE (GUT SÃO PAULO),Grand Prix,VIMEO,Downloaded,ad_007.mp4,20.8 MB,/Users/julieschiller/responsible-advertising-index/downloaded_ads/ad_007.mp4,https://vimeo.com/1093409251?share=copy
8,[FILM] PARIS PARALYMPICS 2024: CONSIDERING WHAT? – CHANNEL 4 (BISCUIT FILMWORKS LONDON),Grand Prix,YOUTUBE,Downloaded,ad_008.mp4,23.1 MB,/Users/julieschiller/responsible-advertising-index/downloaded_ads/ad_008.mp4,https://www.youtube.com/watch?v=2np3KfLrA_M
9,[FILM] THE FINAL COPY OF ILON SPECHT – L’OREAL (MCCANN PARIS),Grand Prix,VIMEO,Downloaded,ad_009.mp4,26.7 MB,/Users/julieschiller/responsible-advertising-index/downloaded_ads/ad_009.mp4,https://vimeo.com/1094956645
10,[GRAND PRIX FOR GOOD + LIONS HEALTH GRAND PRIX FOR GOOD] THE BEST PLACE TO HAVE HERPES – THE NEW ZEALAND HERPES FOUNDATION (FINCH SYDNEY),Grand Prix,VIMEO,Downloaded,ad_010.mp4,14.1 MB,/Users/julieschiller/responsible-advertising-index/downloaded_ads/ad_010.mp4,https://vimeo.com/1083074994
11,[INDUSTRY CRAFT] NIGRUM CORPUS – IDOMED (ARTPLAN SÃO PAULO),Grand Prix,VIMEO,Downloaded,ad_011.mp4,31.5 MB,/Users/julieschiller/responsible-advertising-index/downloaded_ads/ad_011.mp4,https://vimeo.com/1089083708
12,"[INNOVATION] SOUNDS RIGHT – UN LIVE, SPOTIFY (AKQA COPENHAGEN)",Grand Prix,VIMEO,Downloaded,ad_012.mp4,10.2 MB,/Users/julieschiller/responsible-advertising-index/downloaded_ads/ad_012.mp4,https://vimeo.com/1094746280
